CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
3.872866,0.062954,0.004858,0.064637,0,1.3155,876.5,295.1,1
4.20474,0.083398,0.005089,0.072162,0,1.3483,873.75,295.55,1
4.454871,0.101239,0.005176,0.076934,0,1.255,870.15,295.6,1
4.585482,0.11261,0.005116,0.081657,0,1.2304,866,295.78,1
4.64442,0.117517,0.005042,0.087936,0,1.2008,862.75,295.8,1
4.716176,0.118812,0.004956,0.091494,0,1.1285,860.4,295.98,1
4.688643,0.118627,0.004885,0.088705,0,1.0939,860.125,296,1
4.67223,0.115966,0.004877,0.087068,0,1.0398,857.65,296.18,1
4.639776,0.113409,0.004893,0.088207,0,1.0546,855.5,296.2,1
4.589265,0.112676,0.00489,0.087403,0,0.984,855.25,296.2,1
4.558258,0.11017,0.004905,0.086059,0,0.9972,852.775,296.2,1
4.520702,0.108221,0.004946,0.085188,0,0.984,851.375,296.29,1
4.479479,0.10659,0.004948,0.085464,0,0.9708,850,296.3,1
4.462161,0.105087,0.004992,0.084597,0,0.9576,851.7,296.66,1
4.461094,0.104033,0.004998,0.084965,0,0.9478,850,296.7,1
4.424787,0.103161,0.00507,0.08592,0,0.9066,850.15,296.97,1
4.398913,0.101824,0.005043,0.086498,0,0.8822,850.25,297,1
4.338059,0.101138,0.005051,0.087048,0,0.9346,849.75,297.36,1
4.361389,0.100778,0.005075,0.086319,0,0.8937,848.9,297.4,1
4.313963,0.099437,0.005081,0.08696,0,0.9332,847.95,297.67,1
4.303547,0.098214,0.005094,0.086356,0,0.8969,848.75,297.7,1
4.304677,0.096173,0.005093,0.087095,0,0.8987,847.825,298.06,1
4.28997,0.096211,0.005055,0.086846,0,0.9086,846.975,298.1,1
4.276584,0.094208,0.005069,0.086911,0,0.8446,847.5,298.37,1
4.272072,0.09284,0.005066,0.087979,0,0.8231,847.525,298.4,1
4.237767,0.092072,0.005074,0.088932,0,0.8166,847.25,298.67,1
4.229077,0.091349,0.005168,0.088835,0,0.797,847.675,298.7,1
4.189937,0.091013,0.005274,0.088031,0,0.7643,847.8,298.97,1
4.143981,0.090587,0.005278,0.085853,0,0.7576,848.75,299,1
4.150075,0.090296,0.005363,0.085341,0,0.7314,850,299.36,1
4.166385,0.090618,0.005462,0.084671,0,0.7316,849.25,299.4,1
4.084989,0.089577,0.005575,0.083892,0,0.738,849.5,299.49,1
4.050417,0.088989,0.005699,0.083741,0,0.7249,848.9,299.5,1
4.002988,0.09003,0.005799,0.08388,0,0.692,848.75,299.77,1
3.963685,0.091064,0.005883,0.080649,0,0.6985,847.575,299.8,1
3.936531,0.090045,0.006018,0.078907,0,0.705,847.675,299.98,1
3.905191,0.090474,0.006024,0.078193,0,0.7184,848,300,1
3.863846,0.090742,0.006068,0.077514,0,0.705,847.925,300.27,1
3.888035,0.090643,0.006186,0.077146,0,0.7052,846.775,300.3,1
3.827389,0.090722,0.006263,0.077799,0,0.692,847.175,300.57,1
3.794913,0.090536,0.006266,0.077719,0,0.705,847.35,300.6,1
3.813015,0.090282,0.006332,0.07803,0,0.679,848.2,300.87,1
3.826527,0.091259,0.006379,0.076897,0,0.666,848.325,300.9,1
3.817851,0.090298,0.006401,0.077244,0,0.692,848.3,301.17,1
3.839528,0.089466,0.006404,0.07762,0,0.679,848.7,301.2,1
3.829098,0.089821,0.006416,0.078381,0,0.6626,848.5,301.47,1
3.80536,0.090037,0.006443,0.077752,0,0.651,849.05,301.5,1
3.791973,0.089207,0.006461,0.078218,0,0.6626,848.5,301.59,1
3.786493,0.089147,0.006469,0.077857,0,0.6626,847.4,301.6,1
3.777307,0.089129,0.006505,0.078629,0,0.6592,846.35,301.69,1
3.756982,0.088242,0.006549,0.078505,0,0.6575,846.15,301.7,1
3.729933,0.087791,0.006506,0.076913,0,0.6558,846.55,301.79,1
3.736266,0.087761,0.006544,0.075774,0,0.623,846.25,301.8,1
3.763369,0.087954,0.006582,0.07598,0,0.6558,845.75,301.89,1
3.734861,0.087846,0.00663,0.076431,0,0.6264,845.25,301.9,1
3.740032,0.087421,0.006683,0.076808,0,0.664,846,301.72,1
3.732041,0.08758,0.006693,0.077656,0,0.6394,846.675,301.7,1
3.726504,0.088018,0.00675,0.077566,0,0.6476,845.75,301.34,1
3.726683,0.087299,0.006696,0.076551,0,0.597,847.225,301.3,1
3.71559,0.087209,0.006684,0.076958,0,0.61,845.5,301.03,1
3.735155,0.086813,0.006784,0.077134,0,0.623,846.425,301,1
3.700369,0.086813,0.006807,0.077138,0,0.6264,846.3,300.46,1
3.693728,0.086623,0.006819,0.076446,0,0.6394,846.2,300.4,1
3.741379,0.085878,0.006833,0.076959,0,0.61,847.325,300.31,1
3.741571,0.086361,0.006812,0.077121,0,0.623,845.5,300.3,1
3.728888,0.085401,0.006879,0.078018,0,0.623,846.55,300.12,1
3.719462,0.084864,0.006815,0.078804,0,0.623,845.5,300.1,1
3.683662,0.085589,0.006871,0.078126,0,0.6493,845.75,299.83,1
3.709927,0.08478,0.006927,0.077324,0,0.6493,845,299.8,1
3.672249,0.084376,0.006894,0.077698,0,0.623,846.025,299.62,1
3.694502,0.084078,0.006878,0.076726,0,0.623,845.275,299.6,1
3.717536,0.083727,0.006888,0.077414,0,0.61,845.25,299.33,1
3.699695,0.084434,0.006907,0.076648,0,0.623,845.3,299.3,1
3.680934,0.083159,0.006888,0.078165,0,0.623,844.4,298.94,1
3.674594,0.083763,0.006799,0.07746,0,0.6264,844.325,298.9,1
3.678341,0.083998,0.006851,0.077312,0,0.61,844.425,298.81,1
3.667103,0.083026,0.006873,0.076278,0,0.61,843.4,298.8,1
3.612979,0.082515,0.006847,0.076272,0,0.623,843.75,298.53,1
3.631176,0.081986,0.006853,0.076869,0,0.623,844.325,298.5,1
3.630172,0.082185,0.00683,0.076254,0,0.597,843.75,298.41,1
3.627221,0.082079,0.006891,0.07481,0,0.61,843.8,298.4,1
3.624642,0.081155,0.006929,0.074999,0,0.6035,844,298.31,1
3.60461,0.081933,0.006966,0.075662,0,0.5905,844.425,298.3,1
3.629098,0.082021,0.006967,0.075773,0,0.623,844.5,298.21,1
3.638506,0.081694,0.00693,0.075737,0,0.61,844.05,298.2,1
3.645001,0.081587,0.006919,0.075729,0,0.61,844.175,298.11,1
3.631913,0.081195,0.006927,0.076648,0,0.61,844.4,298.1,1
3.592,0.081767,0.006923,0.076187,0,0.61,844,298.1,1
3.569144,0.08183,0.006917,0.075695,0,0.623,844.075,298.1,1
3.573393,0.081977,0.006982,0.075083,0,0.597,843.7,297.92,1
3.58363,0.08151,0.006967,0.074881,0,0.6362,842.75,297.9,1
3.592232,0.080211,0.00693,0.075591,0,0.6035,841.775,297.72,1
3.621611,0.079946,0.006933,0.075746,0,0.61,841.375,297.7,1
3.607743,0.08028,0.006899,0.076064,0,0.61,840.275,297.61,1
3.572884,0.080426,0.006883,0.075372,0,0.597,841,297.6,1
3.564158,0.079861,0.006939,0.075887,0,0.597,840.5,297.51,1
3.548485,0.080238,0.006965,0.075517,0,0.61,841,297.5,1
3.533323,0.079843,0.00694,0.075695,0,0.61,839.625,297.23,1
3.552083,0.07864,0.00691,0.07451,0,0.61,841.5,297.2,1
3.559486,0.078679,0.006928,0.072304,0,0.5644,840,297.11,1
3.547474,0.078439,0.003301,0.072777,0,0.5904,839.5,297.1,1
3.535821,0.078451,0.002286,0.074569,0,0.584,838.775,297.1,1
3.536379,0.079006,0.004006,0.074988,0,0.584,838.6,297.1,1
3.504941,0.078727,0.005608,0.074915,0,0.61,839.1,297.28,1
3.528926,0.078357,0.006111,0.074281,0,0.61,838.85,297.3,1
3.530844,0.07809,0.006427,0.074154,0,0.5905,837.05,297.39,1
3.506284,0.078361,0.006639,0.073839,0,0.597,836.925,297.4,1
3.528796,0.077716,0.006808,0.074367,0,0.5905,836.75,297.67,1
3.526571,0.078097,0.006901,0.074957,0,0.565222,836.888889,297.7,1
3.522231,0.078179,0.006924,0.074703,0,0.5645,836.775,297.79,1
3.520722,0.07768,0.006895,0.074537,0,0.571,837.325,297.8,1
3.50787,0.078282,0.006848,0.074293,0,0.571,836.55,297.8,1
3.487774,0.078428,0.006852,0.07401,0,0.6035,836.525,297.8,1
3.461681,0.078062,0.006846,0.073719,0,0.6165,835.3,297.62,1
3.435844,0.077807,0.006922,0.073354,0,0.558,833.625,297.6,1
3.422601,0.077559,0.006941,0.073491,0,0.5448,833,297.33,1
3.400818,0.077057,0.006923,0.073243,0,0.5448,832.3,297.3,1
3.408979,0.076152,0.006994,0.07227,0,0.5316,833.35,297.03,1
3.386449,0.075618,0.007034,0.070701,0,0.525,832.55,297,1
3.332791,0.075737,0.007138,0.069237,0,0.5118,831.9,296.73,1
3.334257,0.07572,0.007151,0.069136,0,0.5498,833.275,296.7,1
3.324294,0.076517,0.007128,0.068792,0,0.5366,832.5,296.34,1
3.344304,0.076651,0.007166,0.068577,0,0.5416,832.025,296.3,1
3.315791,0.075937,0.007167,0.068949,0,0.558,831.425,295.85,1
3.284948,0.076188,0.007233,0.069474,0,0.558,830.85,295.8,1
3.286484,0.076163,0.0072,0.06985,0,0.5498,831.35,295.35,1
3.272847,0.076291,0.007166,0.068637,0,0.5498,830.975,295.3,1
3.280428,0.075679,0.0072,0.067901,0,0.517,831.675,294.94,1
3.259771,0.075156,0.007192,0.067623,0,0.5006,832.5,294.9,1
3.237844,0.075259,0.007146,0.067077,0,0.5334,830.125,294.18,1
3.235692,0.074957,0.007165,0.067354,0,0.517,829.375,294.1,1
3.237541,0.075564,0.007172,0.067263,0,0.4924,829.65,293.83,1
3.225554,0.075293,0.007238,0.066951,0,0.4924,829.8,293.8,1
3.222383,0.074851,0.007297,0.06777,0,0.5498,829.2,293.71,1
3.202399,0.074993,0.007345,0.068099,0,0.5252,828.175,293.7,1
3.217689,0.07505,0.007392,0.066962,0,0.476,829,293.7,1
3.232824,0.074661,0.00741,0.066163,0,0.476,827.075,293.7,1
3.247327,0.074724,0.007418,0.066309,0,0.5498,827.95,293.79,1
3.263528,0.074469,0.007367,0.067314,0,0.5088,827.5,293.8,1
3.274601,0.074827,0.007412,0.067839,0,0.517,827.45,293.89,1
3.289246,0.075116,0.007376,0.068516,0,0.5006,826.625,293.9,1
3.275261,0.075463,0.007329,0.070487,0,0.558,826.8,294.08,1
3.310921,0.075756,0.007322,0.070651,0,0.5495,825.625,294.1,1
3.316543,0.075709,0.007226,0.069695,0,0.5461,824.6,294.19,1
3.323532,0.075525,0.007148,0.068747,0,0.5297,825.8,294.2,1
3.343962,0.074508,0.007126,0.070208,0,0.5444,825.45,294.29,1
3.337342,0.074595,0.007154,0.071465,0,0.5495,824.65,294.3,1
3.337198,0.073828,0.007124,0.071236,0,0.5297,825.1,294.39,1
3.352243,0.073778,0.007121,0.071603,0,0.5215,824.925,294.4,1
3.37335,0.074236,0.007119,0.071786,0,0.5085,823.125,294.49,1
3.359192,0.073888,0.007108,0.071198,0,0.528,823,294.5,1
3.354599,0.07352,0.007081,0.069964,0,0.541,822.875,294.5,1
3.342399,0.073585,0.007013,0.069837,0,0.541,822.475,294.5,1
3.344666,0.073957,0.00698,0.071002,0,0.541,821.425,294.41,1
3.325363,0.073642,0.006925,0.07099,0,0.528,819.975,294.4,1
3.300557,0.073148,0.00694,0.070527,0,0.541,818.95,294.13,1
3.297517,0.07236,0.006982,0.06986,0,0.528,819.825,294.1,1
3.283588,0.072162,0.00698,0.069577,0,0.541,819.7,293.83,1
3.297401,0.071473,0.006978,0.069072,0,0.541,818.95,293.8,1
3.329965,0.070881,0.006953,0.069887,0,0.541,819.275,293.53,1
3.320428,0.070905,0.006919,0.070159,0,0.541,819.3,293.5,1
3.304278,0.070659,0.006908,0.070014,0,0.502,818.5,293.23,1
3.289445,0.070988,0.00694,0.070198,0,0.5345,818.15,293.2,1
3.265729,0.071648,0.006927,0.070583,0,0.515,818.15,292.93,1
3.24887,0.071566,0.006893,0.070348,0,0.502,814.775,292.9,1
3.251624,0.071298,0.006916,0.068892,0,0.4955,815.675,292.27,1
3.240236,0.07098,0.006929,0.068206,0,0.528,815.55,292.2,1
3.233462,0.070725,0.006916,0.068632,0,0.5085,814.8,291.66,1
3.235123,0.070593,0.006921,0.069112,0,0.476,813.575,291.6,1
3.220382,0.070832,0.006915,0.068207,0,0.476,813.025,291.33,1
3.19227,0.070773,0.006941,0.068168,0,0.4628,814,291.3,1
3.182491,0.0706,0.006972,0.06916,0,0.4496,813.3,291.39,1
3.172102,0.070219,0.00702,0.066668,0,0.476,813.85,291.4,1
3.168872,0.070148,0.007051,0.065729,0,0.476,813.125,291.4,1
3.137411,0.069958,0.007068,0.065298,0,0.476,812.925,291.4,1
3.111911,0.07007,0.007021,0.064256,0,0.476,813.825,291.49,1
3.09587,0.069573,0.006976,0.064771,0,0.443,813.475,291.5,1
3.09088,0.069641,0.006993,0.064495,0,0.476,811.9,291.59,1
3.071293,0.068693,0.006973,0.063242,0,0.476,811.45,291.6,1
3.055419,0.068529,0.006977,0.064074,0,0.4628,812.575,291.69,1
3.059306,0.06866,0.006985,0.065264,0,0.4496,811.225,291.7,1
3.048512,0.068745,0.006964,0.064807,0,0.476,810.9,291.79,1
3.046004,0.068021,0.006954,0.064063,0,0.476,811.1,291.8,1
3.056122,0.067612,0.00703,0.064159,0,0.4496,810,291.98,1
3.051036,0.067746,0.007005,0.063515,0,0.4496,809.575,292,1
3.051962,0.066868,0.006957,0.063265,0,0.476,809.175,292.09,1
3.077855,0.066788,0.006948,0.064224,0,0.4694,808.175,292.1,1
3.043187,0.067004,0.007019,0.064256,0,0.4694,808.525,292.55,1
3.015253,0.067125,0.007026,0.063984,0,0.4562,806.35,292.6,1
2.999189,0.067176,0.007068,0.064481,0,0.4694,806.4,292.87,1
3.017264,0.067916,0.007003,0.063143,0,0.476,805.55,292.9,1
3.02268,0.067433,0.006979,0.060978,0,0.476,806.075,292.81,1
3.054791,0.066978,0.006951,0.061936,0,0.476,806,292.8,1
3.04502,0.06678,0.00692,0.06391,0,0.4758,804.775,292.89,1
3.055461,0.06727,0.006893,0.063392,0,0.4694,805.1,292.9,1
3.060447,0.067121,0.00687,0.06496,0,0.4562,804.725,292.63,1
3.078901,0.067571,0.006841,0.066183,0,0.4625,804.4,292.6,1
3.089812,0.067083,0.006795,0.06601,0,0.5085,803.55,292.24,1
3.109162,0.066834,0.006791,0.065528,0,0.489,802.7,292.2,1
3.129728,0.066158,0.006781,0.066135,0,0.489,803.025,292.11,1
3.136994,0.066061,0.00682,0.067166,0,0.4955,802.125,292.1,1
3.146948,0.065936,0.006862,0.067374,0,0.489,803.55,292.28,1
3.148488,0.065856,0.006852,0.067206,0,0.5264,803.475,292.3,1
3.16587,0.066011,0.006784,0.06724,0,0.5005,801.775,292.48,1
3.194536,0.066105,0.006737,0.066999,0,0.5201,801.55,292.5,1
3.193228,0.066193,0.006789,0.066527,0,0.43,800.25,292.68,1
3.158126,0.066158,0.006716,0.067644,0,0.4675,800.175,292.7,1
3.125038,0.066483,0.006678,0.067777,0,0.4641,800.475,292.88,1
3.143225,0.066814,0.006719,0.066671,0,0.459,799.575,292.9,1
3.110757,0.066821,0.006695,0.066151,0,0.459,799.25,293.08,1
3.11049,0.066147,0.006703,0.066465,0,0.459,799.3,293.1,1
