CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
2.678256,0.010665,0.001834,0.07122,0,0.8492,650.05,293.1,1
2.679082,0.010653,0.001829,0.072729,0,0.8445,648.55,293.19,1
2.690443,0.010609,0.001865,0.072717,0,0.8596,650.575,293.2,1
2.695505,0.01051,0.001856,0.074342,0,0.8596,650.125,293.38,1
2.672639,0.010573,0.001862,0.074476,0,0.8365,650.9,293.4,1
2.683951,0.010577,0.001884,0.073732,0,0.8332,649.175,293.49,1
2.67597,0.010596,0.001873,0.074058,0,0.9087,636.6,293.5,1
2.694294,0.010622,0.001848,0.07152,0,0.9265,651.025,293.68,1
2.742353,0.010557,0.001852,0.07181,0,0.9056,649.425,293.7,1
2.741981,0.010629,0.001864,0.074688,0,0.93,649.4,293.88,1
2.741668,0.010551,0.001875,0.078307,0,0.91,652.35,293.9,1
2.749189,0.010536,0.001869,0.079509,0,0.9035,648.425,294.26,1
2.770954,0.010598,0.001877,0.077441,0,0.9154,649.9,294.3,1
2.773488,0.010481,0.001875,0.075921,0,0.902,650.1,294.48,1
2.768135,0.010311,0.001887,0.074657,0,0.9039,649.9,294.5,1
2.775988,0.010107,0.001888,0.075882,0,0.9039,650.85,294.77,1
2.768766,0.010072,0.001891,0.076265,0,0.902,648.875,294.8,1
2.786293,0.010014,0.001885,0.076248,0,0.9103,650.675,294.89,1
2.794387,0.009995,0.001889,0.076809,0,0.9001,649.4,294.9,1
2.792234,0.01003,0.001889,0.075889,0,0.9007,650.4,294.9,1
2.773812,0.010002,0.001892,0.076105,0,0.8903,650.525,294.9,1
2.762401,0.010022,0.001881,0.076551,0,0.8886,650.35,294.9,1
2.758499,0.010034,0.001868,0.075372,0,0.8935,649.75,294.9,1
2.763177,0.009969,0.001862,0.074455,0,0.8984,649.475,294.81,1
2.751948,0.009807,0.001875,0.073863,0,0.8984,650.2,294.8,1
2.754182,0.009767,0.001892,0.076727,0,0.8935,650.1,294.71,1
2.770732,0.009764,0.001894,0.078059,0,0.8838,649.725,294.7,1
2.764247,0.009762,0.001893,0.076262,0,0.894,650.575,294.7,1
2.752151,0.009706,0.001901,0.074252,0,0.8855,650.7,294.7,1
2.744898,0.009687,0.001906,0.075356,0,0.8872,649.475,294.61,1
2.745175,0.009709,0.001904,0.075611,0,0.8888,649.6,294.6,1
2.741723,0.009693,0.001901,0.074535,0,0.8935,649.85,294.42,1
